verb,tense,predicted,gold,correct
wait,Progressive,weɪtɪŋ,weɪtɪŋ,+
wait,Past,weɪtɪd,weɪtɪd,+
wait,Perfect,weɪtɪd,weɪtɪd,+
wake,Present 3rd Singular,weɪks,weɪks,+
wake,Progressive,weɪkɪŋ,weɪkɪŋ,+
wake,Past,woʊk,woʊk,+
wake,Perfect,woʊkən,woʊkən,+
wear,Present 3rd Singular,wɛɹz,wɛɹz,+
wear,Progressive,wɛɹɪŋ,wɛɹɪŋ,+
wear,Past,wɔɹ,wɔɹ,+
wear,Perfect,wɔɹn,wɔɹn,+
want,Present 3rd Singular,wɑnts,wɑnts,+
want,Progressive,wɑntɪŋ,wɑntɪŋ,+
want,Past,wɑntɪd,wɑntɪd,+
want,Perfect,wɑntɪd,wɑntɪd,+
waste,Present 3rd Singular,weɪsts,weɪsts,+
waste,Progressive,weɪstɪŋ,weɪstɪŋ,+
waste,Past,weɪstɪd,weɪstɪd,+
waste,Perfect,weɪstɪd,weɪstɪd,+
will,Present 3rd Singular,wɪl,wɪl,+
will,Progressive,wɪlɪŋ,No Progresive,-
will,Past,wɪld,wʊd,-
will,Perfect,wɪld,No Perfect Participle,-
win,Present 3rd Singular,wɪnz,wɪnz,+
win,Progressive,wɪnɪŋ,wɪnɪŋ,+
win,Past,wʌn,wʌn,+
win,Perfect,wʌn,wʌn,+
would,Present 3rd Singular,wʊd,wʊd,+
would,Progressive,wʊdɪŋ,No Progresive,-
would,Past,wʊdɪd,wʊd,-
would,Perfect,wʊdɪd,No Perfect Participle,-
write,Present 3rd Singular,ɹaɪts,ɹaɪts,+
write,Progressive,ɹaɪtɪŋ,ɹaɪtɪŋ,+
write,Past,ɹoʊt,ɹoʊt,+
write,Perfect,ɹɪtən,ɹɪtən,+
yap,Present 3rd Singular,jæps,jæps,+
yap,Progressive,jæpɪŋ,jæpɪŋ,+
yap,Past,jæpt,jæpt,+
yap,Perfect,jæpt,jæpt,+
yawn,Present 3rd Singular,jɔnz,jɔnz,+
yawn,Progressive,jɔnɪŋ,jɔnɪŋ,+
yawn,Past,jɔnd,jɔnd,+
yawn,Perfect,jɔnd,jɔnd,+
yell,Present 3rd Singular,jɛlz,jɛlz,+
yell,Progressive,jɛlɪŋ,jɛlɪŋ,+
yell,Past,jɛld,jɛld,+
yell,Perfect,jɛld,jɛld,+
zap,Present 3rd Singular,zæps,zæps,+
zap,Progressive,zæpɪŋ,zæpɪŋ,+
zap,Past,zæpt,zæpt,+
zap,Perfect,zæpt,zæpt,+
zoom,Present 3rd Singular,zumz,zumz,+
zoom,Progressive,zumɪŋ,zumɪŋ,+
zoom,Past,zumd,zumd,+
zoom,Perfect,zumd,zumd,+

Tense,Accuracy %,Correct,Total
Present 3rd Singular,96.3,259,269
Progressive,94.8,255,269
Past,94.1,253,269
Perfect,94.1,253,269
